rep,arm,leg,ns_per_op
19,B-branch,settings-d8,0.821
19,B-branch,stream-store,77.582
19,B-branch,plain-write,52.181
19,B-branch,control-codec,23.59
19,B-branch,settings-d1,0.806
19,B-branch,settings-d8,0.806
19,B-branch,stream-store,76.583
19,B-branch,plain-write,52.753
19,B-branch,control-codec,23.877
20,A-main,settings-d1,0.805
20,A-main,settings-d8,0.809
20,A-main,stream-store,77.559
20,A-main,plain-write,65.452
20,A-main,control-codec,23.423
20,A-main,settings-d1,0.804
20,A-main,settings-d8,0.807
20,A-main,stream-store,79.041
20,A-main,plain-write,59.538
20,A-main,control-codec,23.544
20,A-main,settings-d1,0.805
20,A-main,settings-d8,0.804
20,A-main,stream-store,78.721
20,A-main,plain-write,65.106
20,A-main,control-codec,23.658
20,B-branch,settings-d1,0.803
20,B-branch,settings-d8,0.802
20,B-branch,stream-store,75.712
20,B-branch,plain-write,63.49
20,B-branch,control-codec,23.671
20,B-branch,settings-d1,0.808
20,B-branch,settings-d8,0.804
20,B-branch,stream-store,76.261
20,B-branch,plain-write,62.723
20,B-branch,control-codec,23.845
20,B-branch,settings-d1,0.849
20,B-branch,settings-d8,0.808
20,B-branch,stream-store,76.092
20,B-branch,plain-write,63.207
20,B-branch,control-codec,23.528
21,A-main,settings-d1,0.802
21,A-main,settings-d8,0.804
21,A-main,stream-store,77.839
21,A-main,plain-write,59.296
21,A-main,control-codec,23.847
21,A-main,settings-d1,0.808
21,A-main,settings-d8,0.812
21,A-main,stream-store,77.368
21,A-main,plain-write,65.354
21,A-main,control-codec,23.714
21,A-main,settings-d1,0.81
21,A-main,settings-d8,0.806
21,A-main,stream-store,77.466
21,A-main,plain-write,66.077
21,A-main,control-codec,24.145
21,B-branch,settings-d1,0.819
21,B-branch,settings-d8,0.824
21,B-branch,stream-store,77.13
21,B-branch,plain-write,53.669
21,B-branch,control-codec,24.005
21,B-branch,settings-d1,0.817
21,B-branch,settings-d8,0.817
21,B-branch,stream-store,76.865
21,B-branch,plain-write,52.074
21,B-branch,control-codec,23.627
21,B-branch,settings-d1,0.898
21,B-branch,settings-d8,0.806
21,B-branch,stream-store,76.832
21,B-branch,plain-write,52.883
21,B-branch,control-codec,24.053
22,A-main,settings-d1,0.82
22,A-main,settings-d8,0.82
22,A-main,stream-store,77.946
22,A-main,plain-write,53.54
22,A-main,control-codec,23.801
22,A-main,settings-d1,0.811
22,A-main,settings-d8,0.807
22,A-main,stream-store,78.442
22,A-main,plain-write,52.962
22,A-main,control-codec,23.576
22,A-main,settings-d1,0.806
22,A-main,settings-d8,0.809
22,A-main,stream-store,76.852
22,A-main,plain-write,53.162
22,A-main,control-codec,23.76
22,B-branch,settings-d1,0.81
22,B-branch,settings-d8,0.818
22,B-branch,stream-store,77.01
22,B-branch,plain-write,52.334
22,B-branch,control-codec,22.759
22,B-branch,settings-d1,0.806
22,B-branch,settings-d8,0.806
22,B-branch,stream-store,76.313
22,B-branch,plain-write,52.569
22,B-branch,control-codec,23.453
22,B-branch,settings-d1,0.826
22,B-branch,settings-d8,0.851
22,B-branch,stream-store,77.246
22,B-branch,plain-write,52.171
22,B-branch,control-codec,22.611
23,A-main,settings-d1,0.801
23,A-main,settings-d8,0.809
23,A-main,stream-store,78.093
23,A-main,plain-write,54.224
23,A-main,control-codec,23.165
23,A-main,settings-d1,0.81
23,A-main,settings-d8,0.81
23,A-main,stream-store,77.984
23,A-main,plain-write,53.069
23,A-main,control-codec,23.137
23,A-main,settings-d1,0.806
23,A-main,settings-d8,0.809
23,A-main,stream-store,76.614
23,A-main,plain-write,53.997
23,A-main,control-codec,22.877
23,B-branch,settings-d1,0.798
23,B-branch,settings-d8,0.798
23,B-branch,stream-store,82.015
23,B-branch,plain-write,53.107
23,B-branch,control-codec,25.54
23,B-branch,settings-d1,0.808
23,B-branch,settings-d8,0.807
23,B-branch,stream-store,83.503
23,B-branch,plain-write,51.961
23,B-branch,control-codec,23.745
23,B-branch,settings-d1,0.805
23,B-branch,settings-d8,0.812
23,B-branch,stream-store,83.131
23,B-branch,plain-write,52.825
23,B-branch,control-codec,24.002
24,A-main,settings-d1,0.818
24,A-main,settings-d8,0.821
24,A-main,stream-store,77.438
24,A-main,plain-write,53.865
24,A-main,control-codec,23.457
24,A-main,settings-d1,0.819
24,A-main,settings-d8,0.819
24,A-main,stream-store,77.117
24,A-main,plain-write,54.582
24,A-main,control-codec,23.058
24,A-main,settings-d1,0.821
24,A-main,settings-d8,0.824
24,A-main,stream-store,77.545
24,A-main,plain-write,53.212
24,A-main,control-codec,23.005
24,B-branch,settings-d1,0.823
24,B-branch,settings-d8,0.804
24,B-branch,stream-store,75.503
24,B-branch,plain-write,60.809
24,B-branch,control-codec,23.498
24,B-branch,settings-d1,0.807
24,B-branch,settings-d8,0.804
24,B-branch,stream-store,75.798
24,B-branch,plain-write,61.634
24,B-branch,control-codec,23.47
24,B-branch,settings-d1,0.827
24,B-branch,settings-d8,0.813
24,B-branch,stream-store,76.342
24,B-branch,plain-write,61.122
24,B-branch,control-codec,23.494
